UTC,bct_wdt_2sec_cnt,bct_reset_armed,bct_wdt_stat,bct_wdt_en,bct_table_select,bct_boot_relay,bct_l0_acpt_cnt,bct_l0_rjct_cnt,bct_hw_sec_cnt,bct_time_tag,bct_pld_tlm_ack_cnt,bct_pld_cmd_cnt,bct_pld_tlm_to_cnt,bct_pld_tlm_nak_cnt,bct_spare_end,bct_cmd_status,bct_realtime_cmd_accept_count,bct_realtime_cmd_reject_count,bct_stored_cmd_accept_count,bct_stored_cmd_reject_count,bct_macros_executing_pack_bit8,bct_macros_executing_pack1,bct_macros_executing_pack_bit7,bct_macros_executing_pack_bit6,bct_macros_executing_pack_bit5,bct_macros_executing_pack_bit4,bct_macros_executing_pack_bit3,bct_macros_executing_pack_bit2,bct_macros_executing_pack_bit1,bct_macros_executing_pack2,bct_macros_executing_pack_bit16,bct_macros_executing_pack_bit15,bct_macros_executing_pack_bit14,bct_macros_executing_pack_bit13,bct_macros_executing_pack_bit12,bct_macros_executing_pack_bit11,bct_macros_executing_pack_bit10,bct_macros_executing_pack_bit9,bct_scrub_status_overall,bct_scrub_count,bct_image_booted,bct_image_auto_failover,bct_tai_seconds,bct_time_valid,bct_position_wrt_eci1,bct_position_wrt_eci2,bct_position_wrt_eci3,bct_velocity_wrt_eci1,bct_velocity_wrt_eci2,bct_velocity_wrt_eci3,bct_nadir_vector_body1,bct_nadir_vector_body2,bct_nadir_vector_body3,bct_sun_vector_body1,bct_sun_vector_body2,bct_sun_vector_body3,bct_sun_position_wrt_eci1,bct_sun_position_wrt_eci2,bct_sun_position_wrt_eci3,bct_moon_position_wrt_eci1,bct_moon_position_wrt_eci2,bct_moon_position_wrt_eci3,bct_refs_valid,bct_esm_valid,bct_run_low_rate_task,bct_q_body_wrt_eci1,bct_q_body_wrt_eci2,bct_q_body_wrt_eci3,bct_q_body_wrt_eci4,bct_body_rate1,bct_body_rate1_dps,bct_body_rate1_rpm,bct_body_rate2,bct_body_rate2_dps,bct_body_rate2_rpm,bct_body_rate3,bct_body_rate3_dps,bct_body_rate3_rpm,bct_bad_att_timer,bct_bad_rate_timer,bct_reinit_count,bct_attitude_valid,bct_meas_att_valid,bct_meas_rate_valid,bct_tracker_used,bct_hr_cycle_safe_mode,bct_rotisserie_rate,bct_rotisserie_rate_dps,bct_rotisserie_rate_rpm,bct_adcs_mode,bct_safe_mode_reason,bct_recommend_sun_point,bct_filtered_speed_rpm1,bct_filtered_speed_rpm2,bct_filtered_speed_rpm3,bct_operating_mode1,bct_operating_mode2,bct_operating_mode3,bct_operating_mode,bct_star_id_step,bct_att_status,bct_det_timeout_count,bct_num_attitude_stars,bct_position_error1,bct_position_error2,bct_position_error3,bct_eigen_error,bct_time_into_search,bct_wait_timer,bct_sun_point_angle_error,bct_sun_point_state,bct_momentum_vector_body1,bct_momentum_vector_body2,bct_momentum_vector_body3,bct_total_momentum_mag,bct_duty_cycle1,bct_duty_cycle2,bct_duty_cycle3,bct_torque_rod_mode1,bct_torque_rod_mode2,bct_torque_rod_mode3,bct_mag_source_used,bct_momentum_vector_valid,bct_sun_vector_status,bct_css_invalid_count,bct_sun_sensor_used,bct_mag_vector_body1,bct_mag_vector_body2,bct_mag_vector_body3,bct_mag_invalid_count,bct_mag_vector_valid,bct_mag_sensor_used,bct_imu_invalid_count,bct_new_packet_count,bct_imu_vector_valid,bct_hr_run_count,bct_hr_exec_time_ms1,bct_hr_exec_time_ms2,bct_hr_exec_time_ms3,bct_hr_exec_time_ms4,bct_hr_exec_time_ms5,bct_payload_sec_since_last_tlm,bct_payload_tlm_rx_count,bct_payload_tlm_ack_count,bct_payload_tlm_nak_count,bct_voltage_12p0,bct_voltage_8p0,bct_voltage_5p0,bct_voltage_3p3,bct_det_temp,bct_det2_temp,bct_box1_temp,bct_imu_temp,bct_motor1_temp,bct_motor2_temp,bct_motor3_temp,bct_bus_voltage,bct_battery_voltage,bct_battery_current,bct_battery1_temp,bct_battery2_temp,bct_user_analog1,bct_user_analog2,bct_cycles_since_crc_data,bct_gps_lock_count,bct_gps_valid,bct_gps_enable,bct_latched_resp_fire_pack1,bct_latched_resp_fire_pack_bit8,bct_latched_resp_fire_pack_bit7,bct_latched_resp_fire_pack_bit6,bct_latched_resp_fire_pack_bit5,bct_latched_resp_fire_pack_bit4,bct_latched_resp_fire_pack_bit3,bct_latched_resp_fire_pack_bit2,bct_latched_resp_fire_pack_bit1,bct_latched_resp_fire_pack2,bct_latched_resp_fire_pack_bit16,bct_latched_resp_fire_pack_bit15,bct_latched_resp_fire_pack_bit14,bct_latched_resp_fire_pack_bit13,bct_latched_resp_fire_pack_bit12,bct_latched_resp_fire_pack_bit11,bct_latched_resp_fire_pack_bit10,bct_latched_resp_fire_pack_bit9,bct_sd_minute_cur,bct_sd_percent_used_total,bct_sd_percent_used_fsw,bct_sd_percent_used_soh,bct_sd_percent_used_line,bct_sd_percent_used_tbl,bct_sd_percent_used_pay,bct_sdr_tx_frames,bct_sdr_rx_frames,bct_sdr_tx,bct_sdr_tx_power,bct_sdr_rx_lock,bct_sdr_rx_power,bct_sdr_rx_freq_offset,bct_sdr_temp,bct_sdr_comm_error,bct_sq_channel,bct_sq_trap_count,bct_sq_temp,bct_aid_status1,bct_aid_status_bit8,bct_aid_status_bit7,bct_aid_status_bit6,bct_aid_status_bit5,bct_aid_status_bit4,bct_aid_status_bit3,bct_aid_status_bit2,bct_aid_status_bit1,bct_aid_status2,bct_aid_status_bit16,bct_aid_status_bit15,bct_aid_status_bit14,bct_aid_status_bit13,bct_aid_status_bit12,bct_aid_status_bit11,bct_aid_status_bit10,bct_aid_status_bit9,bct_star_id_status,bct_io24_out_,bct_io23_out_,bct_io22_out_rel2_en,bct_io21_out_,bct_io20_out_pld_htr_vbus,bct_io19_out_pld_htr_vbus,bct_io18_out_rel1_en,bct_io17_in_boot_red,bct_io16_in_bat_chg_stat,bct_io15_out_det2,bct_io14_out_12v_mode,bct_io13_in_,bct_io12_out_12v_en,bct_io11_in_sep_mon,bct_io10_out_pld_rst_req,bct_io9_out_pld_vbus
2018/339-15:36:04,96,0,0,0,0,0,0,0,148,2037816052,0,98,0,0,0,0,2,0,123,0,0,0,0,0,0,0,0,0,0,8,0,1,1,0,0,0,0,0,0,41,1,0,597339401.8,1,-2761.824302,-4137.357173,4867.273957,-4.0854449,-3.519168005,-2.958666855,0.473399988,-0.830039979,0.294879993,-0.0031,0.0025,-0.99999997,-42640088.2,-129477511.4,-56127837.02,-229272.5887,-298823.8549,-95524.11062,1,1,0,-0.111991034,0.51122651,0.741304364,0.420206215,2.06E-05,0.001182871,0.000197145,2.21E-05,0.001265091,0.000210848,-0.00749736,-0.429567085,-0.071594514,0,0,6,1,1,1,2,1,0.00872,0.499619185,0.083269864,0,1,0,-124.8000031,-34.40000086,-1208.80003,1,1,1,3,0,0,1,35,0.002510432,0.003137992,0,0.004018615,0,108,0.230999985,6,0,0.0002,0,0,7,1,2,3,3,3,4,1,0,0,3,1.12E-05,-3.06E-05,2.71E-05,1,1,3,0,50,1,742978,6,7,7,6,7,148611,0,0,0,11.9,7.9,5,3.330000222,-2.40000003,-1.60000002,-10.50499979,-1.48499997,-8.069999839,-8.214999836,-8.104999838,19.464,12.23200061,-0.890000045,11.74499977,11.12499978,-9.712000388,-11.35650045,3,51,1,1,8,0,1,1,0,0,0,0,0,14,0,1,1,0,0,0,0,0,46889,19,50,51,1,1,0,0,0,0,0,0,0,0,0,1,65,0,15,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
2018/339-15:36:04,96,0,0,0,0,0,0,0,148,2037816052,0,98,0,0,0,0,2,0,123,0,0,0,0,0,0,0,0,0,0,8,0,1,1,0,0,0,0,0,0,41,1,0,597339401.8,1,-2761.824302,-4137.357173,4867.273957,-4.0854449,-3.519168005,-2.958666855,0.473399988,-0.830039979,0.294879993,-0.0031,0.0025,-0.99999997,-42640088.2,-129477511.4,-56127837.02,-229272.5887,-298823.8549,-95524.11062,1,1,0,-0.111991034,0.51122651,0.741304364,0.420206215,2.06E-05,0.001182871,0.000197145,2.21E-05,0.001265091,0.000210848,-0.00749736,-0.429567085,-0.071594514,0,0,6,1,1,1,2,1,0.00872,0.499619185,0.083269864,0,1,0,-124.8000031,-34.40000086,-1208.80003,1,1,1,3,0,0,1,35,0.002510432,0.003137992,0,0.004018615,0,108,0.230999985,6,0,0.0002,0,0,7,1,2,3,3,3,4,1,0,0,3,1.12E-05,-3.06E-05,2.71E-05,1,1,3,0,50,1,742978,6,7,7,6,7,148611,0,0,0,11.9,7.9,5,3.330000222,-2.40000003,-1.60000002,-10.50499979,-1.48499997,-8.069999839,-8.214999836,-8.104999838,19.464,12.23200061,-0.890000045,11.74499977,11.12499978,-9.712000388,-11.35650045,3,51,1,1,8,0,1,1,0,0,0,0,0,14,0,1,1,0,0,0,0,0,46889,19,50,51,1,1,0,0,0,0,0,0,0,0,0,1,65,0,15,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
2018/339-15:36:20,96,0,0,0,0,0,0,0,164,2821561323,0,114,0,0,0,0,2,0,123,0,0,0,0,0,0,0,0,0,0,8,0,1,1,0,0,0,0,0,0,41,1,0,597339417.8,1,-2826.770919,-4193.03605,4781.621321,-4.03267841,-3.44051523,-5.39882951,0.559279986,-0.768799981,0.310119992,-0.0025,0.0031,-0.99999997,-42639625.13,-129477639.8,-56127892.66,-229259.5375,-298832.4519,-95527.10662,1,1,0,-0.143027395,0.503772253,0.714988095,0.463193983,-8.49E-06,-0.000486441,-8.11E-05,9.34E-05,0.005349993,0.000891666,-0.007491945,-0.429256829,-0.071542805,0,0,6,1,1,1,2,1,0.00872,0.499619185,0.083269864,0,1,0,-131.6000033,-1.60000004,-1219.60003,1,1,1,3,0,0,1,22,0.003140654,0.002512638,0,0.004022071,0,108,0.230999985,6,0,0.0002,0,0,6,3,0,3,3,3,4,1,0,0,3,1.42E-05,-2.87E-05,2.69E-05,1,1,3,0,50,1,743058,7,6,7,7,7,148627,0,0,0,11.9,7.9,5,3.330000222,-2.40000003,-1.60000002,-10.38499979,-1.454999971,-8.144999837,-8.254999835,-8.144999837,18.933,12.23200061,-0.878000044,11.65999977,11.06499978,-9.168000367,-11.02950044,3,51,1,1,8,0,1,1,0,0,0,0,0,14,0,1,1,0,0,0,0,0,46889,19,50,51,1,1,0,0,0,0,0,0,0,0,0,1,65,0,15,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
2018/339-15:36:20,96,0,0,0,0,0,0,0,164,2821561323,0,114,0,0,0,0,2,0,123,0,0,0,0,0,0,0,0,0,0,8,0,1,1,0,0,0,0,0,0,41,1,0,597339417.8,1,-2826.770919,-4193.03605,4781.621321,-4.03267841,-3.44051523,-5.39882951,0.559279986,-0.768799981,0.310119992,-0.0025,0.0031,-0.99999997,-42639625.13,-129477639.8,-56127892.66,-229259.5375,-298832.4519,-95527.10662,1,1,0,-0.143027395,0.503772253,0.714988095,0.463193983,-8.49E-06,-0.000486441,-8.11E-05,9.34E-05,0.005349993,0.000891666,-0.007491945,-0.429256829,-0.071542805,0,0,6,1,1,1,2,1,0.00872,0.499619185,0.083269864,0,1,0,-131.6000033,-1.60000004,-1219.60003,1,1,1,3,0,0,1,22,0.003140654,0.002512638,0,0.004022071,0,108,0.230999985,6,0,0.0002,0,0,6,3,0,3,3,3,4,1,0,0,3,1.42E-05,-2.87E-05,2.69E-05,1,1,3,0,50,1,743058,7,6,7,7,7,148627,0,0,0,11.9,7.9,5,3.330000222,-2.40000003,-1.60000002,-10.38499979,-1.454999971,-8.144999837,-8.254999835,-8.144999837,18.933,12.23200061,-0.878000044,11.65999977,11.06499978,-9.168000367,-11.02950044,3,51,1,1,8,0,1,1,0,0,0,0,0,14,0,1,1,0,0,0,0,0,46889,19,50,51,1,1,0,0,0,0,0,0,0,0,0,1,65,0,15,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2018/339-15:36:52,96,0,0,0,0,0,0,0,196,129342925,0,146,0,0,0,0,2,0,123,0,0,0,0,0,0,0,0,0,0,8,0,1,1,0,0,0,0,0,0,41,1,0,597339449.8,1,-2954.080092,-4300.577865,4605.99535,-3.923446855,-3.28008198,-5.57665631,0.706039982,-0.619959985,0.342319991,-0.0032,0.0032,-0.99999997,-42638695.2,-129477884.8,-56127998.88,-229234.6913,-298851.2853,-95537.92402,1,1,0,-0.203946414,0.484108473,0.654322273,0.543973501,-7.84E-05,-0.004493994,-0.000748999,0.000276105,0.015819651,0.002636609,-0.00750453,-0.429977896,-0.071662983,0,0,6,1,1,1,2,1,0.00872,0.499619185,0.083269864,0,1,0,-141.6000035,34.80000087,-1248.000031,1,1,1,3,0,0,1,37,0.003152382,0.003152382,0,0.00445814,0,108,0.254999983,6,0,0,0,0,6,7,2,3,3,3,4,1,0,0,3,1.77E-05,-2.32E-05,2.86E-05,1,1,3,0,50,1,743218,7,8,7,8,7,148659,0,0,0,11.9,7.9,5,3.330000222,-2.40000003,-1.60000002,-10.1849998,-1.374999973,-8.069999839,-8.179999836,-7.99499984,19.42,12.22800061,-0.848000042,11.49499977,10.89999978,-9.516500381,-11.31550045,3,51,1,1,8,0,1,1,0,0,0,0,0,14,0,1,1,0,0,0,0,0,46890,19,50,51,1,1,0,0,0,0,0,0,0,0,0,1,65,0,15,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
2018/339-15:36:52,96,0,0,0,0,0,0,0,196,129342925,0,146,0,0,0,0,2,0,123,0,0,0,0,0,0,0,0,0,0,8,0,1,1,0,0,0,0,0,0,41,1,0,597339449.8,1,-2954.080092,-4300.577865,4605.99535,-3.923446855,-3.28008198,-5.57665631,0.706039982,-0.619959985,0.342319991,-0.0032,0.0032,-0.99999997,-42638695.2,-129477884.8,-56127998.88,-229234.6913,-298851.2853,-95537.92402,1,1,0,-0.203946414,0.484108473,0.654322273,0.543973501,-7.84E-05,-0.004493994,-0.000748999,0.000276105,0.015819651,0.002636609,-0.00750453,-0.429977896,-0.071662983,0,0,6,1,1,1,2,1,0.00872,0.499619185,0.083269864,0,1,0,-141.6000035,34.80000087,-1248.000031,1,1,1,3,0,0,1,37,0.003152382,0.003152382,0,0.00445814,0,108,0.254999983,6,0,0,0,0,6,7,2,3,3,3,4,1,0,0,3,1.77E-05,-2.32E-05,2.86E-05,1,1,3,0,50,1,743218,7,8,7,8,7,148659,0,0,0,11.9,7.9,5,3.330000222,-2.40000003,-1.60000002,-10.1849998,-1.374999973,-8.069999839,-8.179999836,-7.99499984,19.42,12.22800061,-0.848000042,11.49499977,10.89999978,-9.516500381,-11.31550045,3,51,1,1,8,0,1,1,0,0,0,0,0,14,0,1,1,0,0,0,0,0,46890,19,50,51,1,1,0,0,0,0,0,0,0,0,0,1,65,0,15,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
2018/339-15:37:08,96,0,0,0,0,0,0,0,212,892313284,0,162,0,0,0,0,2,0,123,0,0,0,0,0,0,0,0,0,0,8,0,1,1,0,0,0,0,0,0,41,1,0,597339465.8,1,-3016.405709,-4352.406682,4516.075474,-3.86705721,-3.19835739,-5.663045765,0.764719981,-0.534559987,0.359759991,-0.0038,0.0038,-0.99999997,-42638232.13,-129478013.1,-56128054.52,-229221.6389,-298859.8807,-95542.35342,1,1,0,-0.233836155,0.472124347,0.620132485,0.581252884,0.000121285,0.006949119,0.001158186,0.00014446,0.008276948,0.001379491,-0.0075255,-0.431179389,-0.071863231,0,0,6,1,1,1,2,1,0.00872,0.499619185,0.083269864,0,1,0,-158.000004,45.60000114,-1252.000031,1,1,1,3,0,0,1,27,0.003790586,0.003790682,0,0.005360767,0,108,0.30599998,6,0,0,0,0,4,4,0,3,3,3,4,1,0,0,3,1.88E-05,-2.01E-05,2.89E-05,1,1,3,0,50,1,743298,8,7,7,7,8,148675,0,0,0,11.9,7.9,5,3.330000222,-2.40000003,-1.60000002,-10.1049998,-1.329999973,-7.879999842,-8.069999839,-7.844999843,18.832,12.23200061,-0.842000042,11.41499977,10.83499978,-10.0270004,-11.56250046,3,51,1,1,8,0,1,1,0,0,0,0,0,14,0,1,1,0,0,0,0,0,46890,19,50,51,1,1,0,0,0,0,0,0,0,0,0,1,65,0,15,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
2018/339-15:37:08,96,0,0,0,0,0,0,0,212,892313284,0,162,0,0,0,0,2,0,123,0,0,0,0,0,0,0,0,0,0,8,0,1,1,0,0,0,0,0,0,41,1,0,597339465.8,1,-3016.405709,-4352.406682,4516.075474,-3.86705721,-3.19835739,-5.663045765,0.764719981,-0.534559987,0.359759991,-0.0038,0.0038,-0.99999997,-42638232.13,-129478013.1,-56128054.52,-229221.6389,-298859.8807,-95542.35342,1,1,0,-0.233836155,0.472124347,0.620132485,0.581252884,0.000121285,0.006949119,0.001158186,0.00014446,0.008276948,0.001379491,-0.0075255,-0.431179389,-0.071863231,0,0,6,1,1,1,2,1,0.00872,0.499619185,0.083269864,0,1,0,-158.000004,45.60000114,-1252.000031,1,1,1,3,0,0,1,27,0.003790586,0.003790682,0,0.005360767,0,108,0.30599998,6,0,0,0,0,4,4,0,3,3,3,4,1,0,0,3,1.88E-05,-2.01E-05,2.89E-05,1,1,3,0,50,1,743298,8,7,7,7,8,148675,0,0,0,11.9,7.9,5,3.330000222,-2.40000003,-1.60000002,-10.1049998,-1.329999973,-7.879999842,-8.069999839,-7.844999843,18.832,12.23200061,-0.842000042,11.41499977,10.83499978,-10.0270004,-11.56250046,3,51,1,1,8,0,1,1,0,0,0,0,0,14,0,1,1,0,0,0,0,0,46890,19,50,51,1,1,0,0,0,0,0,0,0,0,0,1,65,0,15,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
2018/339-15:37:24,96,0,0,0,0,0,0,0,228,1626578875,0,178,0,0,0,0,2,0,123,0,0,0,0,0,0,0,0,0,0,8,0,1,1,0,0,0,0,0,0,41,1,0,597339481.8,1,-3077.820626,-4402.922,4424.788639,-3.809478095,-3.11506211,-5.74765415,0.81199998,-0.443599989,0.379319991,-0.0051,0.0032,-0.99999997,-42637767.2,-129478135.7,-56128107.73,-229209.2033,-298869.2813,-95547.04002,1,1,0,-0.26327198,0.459313601,0.583317184,0.616003169,-3.70E-05,-0.002118511,-0.000353085,0.00048879,0.028005604,0.004667601,-0.00745346,-0.427051801,-0.0711753,0,0,6,1,1,1,2,1,0.00872,0.499619185,0.083269864,0,1,0,-148.8000037,79.20000198,-1261.600032,1,1,1,3,0,0,1,30,0.00316679,0.005066788,0,0.005975023,0,108,0.341999977,6,0,0,0,0,6,9,2,3,3,3,4,1,0,0,3,1.87E-05,-1.80E-05,2.99E-05,1,1,3,0,50,1,743378,8,8,8,8,8,148691,0,0,0,11.9,7.9,5,3.330000222,-2.40000003,-1.60000002,-9.9849998,-1.289999974,-7.99499984,-8.179999836,-7.919999842,19.353,12.23200061,-0.822000041,11.30999977,10.77499978,-7.807500312,-10.30450041,3,51,1,1,8,0,1,1,0,0,0,0,0,14,0,1,1,0,0,0,0,0,46890,19,50,51,1,1,0,0,0,0,0,0,0,0,0,1,65,0,15,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
2018/339-15:37:24,96,0,0,0,0,0,0,0,228,1626578875,0,178,0,0,0,0,2,0,123,0,0,0,0,0,0,0,0,0,0,8,0,1,1,0,0,0,0,0,0,41,1,0,597339481.8,1,-3077.820626,-4402.922,4424.788639,-3.809478095,-3.11506211,-5.74765415,0.81199998,-0.443599989,0.379319991,-0.0051,0.0032,-0.99999997,-42637767.2,-129478135.7,-56128107.73,-229209.2033,-298869.2813,-95547.04002,1,1,0,-0.26327198,0.459313601,0.583317184,0.616003169,-3.70E-05,-0.002118511,-0.000353085,0.00048879,0.028005604,0.004667601,-0.00745346,-0.427051801,-0.0711753,0,0,6,1,1,1,2,1,0.00872,0.499619185,0.083269864,0,1,0,-148.8000037,79.20000198,-1261.600032,1,1,1,3,0,0,1,30,0.00316679,0.005066788,0,0.005975023,0,108,0.341999977,6,0,0,0,0,6,9,2,3,3,3,4,1,0,0,3,1.87E-05,-1.80E-05,2.99E-05,1,1,3,0,50,1,743378,8,8,8,8,8,148691,0,0,0,11.9,7.9,5,3.330000222,-2.40000003,-1.60000002,-9.9849998,-1.289999974,-7.99499984,-8.179999836,-7.919999842,19.353,12.23200061,-0.822000041,11.30999977,10.77499978,-7.807500312,-10.30450041,3,51,1,1,8,0,1,1,0,0,0,0,0,14,0,1,1,0,0,0,0,0,46890,19,50,51,1,1,0,0,0,0,0,0,0,0,0,1,65,0,15,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2018/339-15:38:12,96,0,0,0,0,0,0,0,20,3927220883,0,226,0,0,0,0,2,0,123,0,0,0,0,0,0,0,0,0,0,8,0,1,1,0,0,0,0,0,0,41,1,0,597339529.8,1,-3256.410237,-4546.420793,4142.992733,-3.62996627,-2.86200208,-5.991180935,0.884519978,-0.151399996,0.441239989,-0.0045,0.0025,-0.99999997,-42636374.2,-129478509.2,-56128269.66,-229171.2771,-298896.6743,-95560.84162,1,1,0,-0.346047405,0.412853559,0.460114831,0.705760182,0.00012092,0.006928206,0.001154701,0.0004263,0.024425191,0.004070865,-0.007544075,-0.432243658,-0.07204061,0,0,6,1,1,1,2,1,0.00872,0.499619185,0.083269864,0,1,0,-152.0000038,88.0000022,-1281.200032,1,1,1,3,0,0,1,27,0.002546844,0.004457098,0,0.005133434,0,108,0.29399998,6,0,0,0,0,2,8,2,3,3,3,4,1,0,0,3,1.88E-05,-1.05E-05,3.05E-05,1,1,3,0,50,1,743618,9,9,9,9,9,148739,0,0,0,11.9,7.9,5,3.330000222,-2.40000003,-1.60000002,-9.674999806,-1.129999977,-7.809999844,-7.954999841,-7.694999846,18.764,12.23200061,-0.79400004,11.06499978,10.54499979,-8.74650035,-10.82650043,3,51,1,1,8,0,1,1,0,0,0,0,0,14,0,1,1,0,0,0,0,0,46891,19,50,51,1,1,0,0,0,0,0,0,0,0,0,1,65,0,15,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
2018/339-15:38:12,96,0,0,0,0,0,0,0,20,3927220883,0,226,0,0,0,0,2,0,123,0,0,0,0,0,0,0,0,0,0,8,0,1,1,0,0,0,0,0,0,41,1,0,597339529.8,1,-3256.410237,-4546.420793,4142.992733,-3.62996627,-2.86200208,-5.991180935,0.884519978,-0.151399996,0.441239989,-0.0045,0.0025,-0.99999997,-42636374.2,-129478509.2,-56128269.66,-229171.2771,-298896.6743,-95560.84162,1,1,0,-0.346047405,0.412853559,0.460114831,0.705760182,0.00012092,0.006928206,0.001154701,0.0004263,0.024425191,0.004070865,-0.007544075,-0.432243658,-0.07204061,0,0,6,1,1,1,2,1,0.00872,0.499619185,0.083269864,0,1,0,-152.0000038,88.0000022,-1281.200032,1,1,1,3,0,0,1,27,0.002546844,0.004457098,0,0.005133434,0,108,0.29399998,6,0,0,0,0,2,8,2,3,3,3,4,1,0,0,3,1.88E-05,-1.05E-05,3.05E-05,1,1,3,0,50,1,743618,9,9,9,9,9,148739,0,0,0,11.9,7.9,5,3.330000222,-2.40000003,-1.60000002,-9.674999806,-1.129999977,-7.809999844,-7.954999841,-7.694999846,18.764,12.23200061,-0.79400004,11.06499978,10.54499979,-8.74650035,-10.82650043,3,51,1,1,8,0,1,1,0,0,0,0,0,14,0,1,1,0,0,0,0,0,46891,19,50,51,1,1,0,0,0,0,0,0,0,0,0,1,65,0,15,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
2018/339-15:38:28,96,0,0,0,0,0,0,0,36,424387467,0,242,0,0,0,0,2,0,123,0,0,0,0,0,0,0,0,0,0,8,0,1,1,0,0,0,0,0,0,41,1,0,597339545.8,1,-3313.994454,-4591.52375,4046.510638,-3.567879495,-2.77568876,-6.06877833,0.886679978,-0.052639999,0.459359989,-0.0045,0.0026,-0.99999997,-42635911.13,-129478637.5,-56128325.31,-229158.2229,-298905.2669,-95565.27002,1,1,0,-0.371460243,0.39311334,0.416087235,0.730992861,-2.65E-05,-0.001519484,-0.000253247,0.00028576,0.016372842,0.002728807,-0.00748195,-0.428684158,-0.07144736,0,0,6,1,1,1,2,1,0.00872,0.499619185,0.083269864,0,1,0,-139.2000035,92.40000231,-1292.400032,1,1,1,3,0,0,1,38,0.002550726,0.004463724,0,0.005141112,0,108,0.29399998,6,0,0,0.0002,0,1,12,2,3,3,3,4,1,0,0,3,1.77E-05,-8.55E-06,3.35E-05,1,1,3,0,50,1,743698,9,9,9,9,9,148755,0,0,0,11.9,7.9,5,3.330000222,-2.40000003,-1.60000002,-9.554999809,-1.074999979,-7.769999845,-7.879999842,-7.659999847,19.232,12.23200061,-0.776000039,10.99999978,10.47999979,-8.632500345,-10.98850044,3,51,1,1,8,0,1,1,0,0,0,0,0,14,0,1,1,0,0,0,0,0,46891,19,50,51,1,1,0,0,0,0,0,0,0,0,0,1,65,0,15,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
2018/339-15:38:28,96,0,0,0,0,0,0,0,36,424387467,0,242,0,0,0,0,2,0,123,0,0,0,0,0,0,0,0,0,0,8,0,1,1,0,0,0,0,0,0,41,1,0,597339545.8,1,-3313.994454,-4591.52375,4046.510638,-3.567879495,-2.77568876,-6.06877833,0.886679978,-0.052639999,0.459359989,-0.0045,0.0026,-0.99999997,-42635911.13,-129478637.5,-56128325.31,-229158.2229,-298905.2669,-95565.27002,1,1,0,-0.371460243,0.39311334,0.416087235,0.730992861,-2.65E-05,-0.001519484,-0.000253247,0.00028576,0.016372842,0.002728807,-0.00748195,-0.428684158,-0.07144736,0,0,6,1,1,1,2,1,0.00872,0.499619185,0.083269864,0,1,0,-139.2000035,92.40000231,-1292.400032,1,1,1,3,0,0,1,38,0.002550726,0.004463724,0,0.005141112,0,108,0.29399998,6,0,0,0.0002,0,1,12,2,3,3,3,4,1,0,0,3,1.77E-05,-8.55E-06,3.35E-05,1,1,3,0,50,1,743698,9,9,9,9,9,148755,0,0,0,11.9,7.9,5,3.330000222,-2.40000003,-1.60000002,-9.554999809,-1.074999979,-7.769999845,-7.879999842,-7.659999847,19.232,12.23200061,-0.776000039,10.99999978,10.47999979,-8.632500345,-10.98850044,3,51,1,1,8,0,1,1,0,0,0,0,0,14,0,1,1,0,0,0,0,0,46891,19,50,51,1,1,0,0,0,0,0,0,0,0,0,1,65,0,15,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
